央视,#genre#
CCTV-4K超高清,http://iptv.tvfix.org/hls/cctv4k.m3u8
CCTV-1高清,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV-1HK版高清,http://iptv.tvfix.org/hls/cctv1hdhk.m3u8
CCTV-2高清,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV-3高清,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV-4高清,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV-5高清,http://iptv.tvfix.org/hls/cctv5hd.m3u8
CCTV-5+高清,http://iptv.tvfix.org/hls/cctv5phd.m3u8
CCTV-6高清,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV-7高清,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV-8高清,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV-9高清,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV-10高清,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV-11高清,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV-12高清,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV-13高清,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV-14高清,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV-15高清,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV-16高清,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV-17高清,http://iptv.tvfix.org/hls/cctv17hd.m3u8
卫视高清,#genre#
北京卫视高清,http://iptv.tvfix.org/hls/brtv1hd.m3u8
湖南卫视高清,http://iptv.tvfix.org/hls/hunanhd.m3u8
浙江卫视高清,http://iptv.tvfix.org/hls/zjhd.m3u8
江苏卫视高清,http://iptv.tvfix.org/hls/jshd.m3u8
东方卫视高清,http://iptv.tvfix.org/hls/dfhd.m3u8
安徽卫视高清,http://iptv.tvfix.org/hls/ahhd.m3u8
黑龙江卫视高清,http://iptv.tvfix.org/hls/hljhd.m3u8
辽宁卫视高清,http://iptv.tvfix.org/hls/lnhd.m3u8
深圳卫视高清,http://iptv.tvfix.org/hls/szhd.m3u8
广东卫视高清,http://iptv.tvfix.org/hls/gdhd.m3u8
天津卫视高清,http://iptv.tvfix.org/hls/tjhd.m3u8
湖北卫视高清,http://iptv.tvfix.org/hls/hbhd.m3u8
山东卫视高清,http://iptv.tvfix.org/hls/sdhd.m3u8
重庆卫视高清,http://iptv.tvfix.org/hls/cqhd.m3u8
金鹰纪实高清,http://iptv.tvfix.org/hls/gedocu.m3u8
福建东南卫视高清,http://iptv.tvfix.org/hls/dnhd.m3u8
四川卫视高清,http://iptv.tvfix.org/hls/schd.m3u8
河北卫视高清,http://iptv.tvfix.org/hls/hebhd.m3u8
江西卫视高清,http://iptv.tvfix.org/hls/jxhd.m3u8
河南卫视高清,http://iptv.tvfix.org/hls/hnhd.m3u8
广西卫视高清,http://iptv.tvfix.org/hls/gxhd.m3u8
吉林卫视高清,http://iptv.tvfix.org/hls/jlhd.m3u8
中国教育电视台1高清,http://iptv.tvfix.org/hls/cetv1hd.m3u8
海南卫视高清,http://iptv.tvfix.org/hls/lyhd.m3u8
贵州卫视高清,http://iptv.tvfix.org/hls/gzhd.m3u8
